artists,disc_number,duration_ms,explicit,external_urls,href,id,is_local,name,preview_url,track_number,type,uri,album_id
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7LvDTuFCBv08xm6u1pOMK0'}, 'href': 'https://api.spotify.com/v1/artists/7LvDTuFCBv08xm6u1pOMK0', 'id': '7LvDTuFCBv08xm6u1pOMK0', 'name': 'TJ Monterde', 'type': 'artist', 'uri': 'spotify:artist:7LvDTuFCBv08xm6u1pOMK0'}]",1.0,203226.0,0.0,{'spotify': 'https://open.spotify.com/track/6zNK4hUSIrSr77sOULHDR9'},https://api.spotify.com/v1/tracks/6zNK4hUSIrSr77sOULHDR9,6zNK4hUSIrSr77sOULHDR9,0.0,Huwag Na Lang Kaya - Instrumental,https://p.scdn.co/mp3-preview/db2cdc58d09c68726598d9509081a58808409a2e?cid=3b33859d46fe4fd1a085151a8fefa86d,10.0,track,spotify:track:6zNK4hUSIrSr77sOULHDR9,1VHxJP8KOherjQboaU4mup
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7LvDTuFCBv08xm6u1pOMK0'}, 'href': 'https://api.spotify.com/v1/artists/7LvDTuFCBv08xm6u1pOMK0', 'id': '7LvDTuFCBv08xm6u1pOMK0', 'name': 'TJ Monterde', 'type': 'artist', 'uri': 'spotify:artist:7LvDTuFCBv08xm6u1pOMK0'}]",1.0,258440.0,0.0,{'spotify': 'https://open.spotify.com/track/3w5TYFp6vdh8MBNkovgu3v'},https://api.spotify.com/v1/tracks/3w5TYFp6vdh8MBNkovgu3v,3w5TYFp6vdh8MBNkovgu3v,0.0,Wala Ka Na - Instrumental,https://p.scdn.co/mp3-preview/46b3e99f9b29faf7f9ed977b236535b245ead98c?cid=3b33859d46fe4fd1a085151a8fefa86d,11.0,track,spotify:track:3w5TYFp6vdh8MBNkovgu3v,1VHxJP8KOherjQboaU4mup
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7LvDTuFCBv08xm6u1pOMK0'}, 'href': 'https://api.spotify.com/v1/artists/7LvDTuFCBv08xm6u1pOMK0', 'id': '7LvDTuFCBv08xm6u1pOMK0', 'name': 'TJ Monterde', 'type': 'artist', 'uri': 'spotify:artist:7LvDTuFCBv08xm6u1pOMK0'}]",1.0,231230.0,0.0,{'spotify': 'https://open.spotify.com/track/5Fh34BynBCRdmKVuI5edoO'},https://api.spotify.com/v1/tracks/5Fh34BynBCRdmKVuI5edoO,5Fh34BynBCRdmKVuI5edoO,0.0,Tahanan,https://p.scdn.co/mp3-preview/120d8731918109ac19847a0f22b9dcb5f1d8a13e?cid=3b33859d46fe4fd1a085151a8fefa86d,1.0,track,spotify:track:5Fh34BynBCRdmKVuI5edoO,257DDmwKW26OiQYVJMwSAT
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7LvDTuFCBv08xm6u1pOMK0'}, 'href': 'https://api.spotify.com/v1/artists/7LvDTuFCBv08xm6u1pOMK0', 'id': '7LvDTuFCBv08xm6u1pOMK0', 'name': 'TJ Monterde', 'type': 'artist', 'uri': 'spotify:artist:7LvDTuFCBv08xm6u1pOMK0'}]",1.0,205638.0,0.0,{'spotify': 'https://open.spotify.com/track/1PFzyxmQocxcAH9XvXbRsD'},https://api.spotify.com/v1/tracks/1PFzyxmQocxcAH9XvXbRsD,1PFzyxmQocxcAH9XvXbRsD,0.0,Litrato Ngayong Pasko - Live,https://p.scdn.co/mp3-preview/750868ac2c8fa5dd16c6eb0818ae4a915924dd78?cid=3b33859d46fe4fd1a085151a8fefa86d,1.0,track,spotify:track:1PFzyxmQocxcAH9XvXbRsD,0jt0iGOREWv7WtGJyKNfmI
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7LvDTuFCBv08xm6u1pOMK0'}, 'href': 'https://api.spotify.com/v1/artists/7LvDTuFCBv08xm6u1pOMK0', 'id': '7LvDTuFCBv08xm6u1pOMK0', 'name': 'TJ Monterde', 'type': 'artist', 'uri': 'spotify:artist:7LvDTuFCBv08xm6u1pOMK0'}]",1.0,214359.0,0.0,{'spotify': 'https://open.spotify.com/track/3LkcaC5s38rgF8Yhh3CLtT'},https://api.spotify.com/v1/tracks/3LkcaC5s38rgF8Yhh3CLtT,3LkcaC5s38rgF8Yhh3CLtT,0.0,Litrato Ngayong Pasko,https://p.scdn.co/mp3-preview/a429b8a40d521be1fea43a3696ea1951d90b4418?cid=3b33859d46fe4fd1a085151a8fefa86d,1.0,track,spotify:track:3LkcaC5s38rgF8Yhh3CLtT,2JqEmiv36mwK73K2Rzpbhk
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7LvDTuFCBv08xm6u1pOMK0'}, 'href': 'https://api.spotify.com/v1/artists/7LvDTuFCBv08xm6u1pOMK0', 'id': '7LvDTuFCBv08xm6u1pOMK0', 'name': 'TJ Monterde', 'type': 'artist', 'uri': 'spotify:artist:7LvDTuFCBv08xm6u1pOMK0'}]",1.0,208579.0,0.0,{'spotify': 'https://open.spotify.com/track/3gkwEytdCYIsrFdfEE2ALW'},https://api.spotify.com/v1/tracks/3gkwEytdCYIsrFdfEE2ALW,3gkwEytdCYIsrFdfEE2ALW,0.0,Mahika,https://p.scdn.co/mp3-preview/84e2b6372c99f96ca26010313b73886a1588d8be?cid=3b33859d46fe4fd1a085151a8fefa86d,1.0,track,spotify:track:3gkwEytdCYIsrFdfEE2ALW,7EtszOFGwCmg899C88aPTE
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7LvDTuFCBv08xm6u1pOMK0'}, 'href': 'https://api.spotify.com/v1/artists/7LvDTuFCBv08xm6u1pOMK0', 'id': '7LvDTuFCBv08xm6u1pOMK0', 'name': 'TJ Monterde', 'type': 'artist', 'uri': 'spotify:artist:7LvDTuFCBv08xm6u1pOMK0'}]",1.0,210586.0,0.0,{'spotify': 'https://open.spotify.com/track/0jkaT1r8W8W6SfCMzlTIOa'},https://api.spotify.com/v1/tracks/0jkaT1r8W8W6SfCMzlTIOa,0jkaT1r8W8W6SfCMzlTIOa,0.0,Mahika,https://p.scdn.co/mp3-preview/0ee33db71d317a3dc93fb0912296a8b09cce47e4?cid=3b33859d46fe4fd1a085151a8fefa86d,1.0,track,spotify:track:0jkaT1r8W8W6SfCMzlTIOa,7nZDufhIkYniBmpxiFMRx6
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7LvDTuFCBv08xm6u1pOMK0'}, 'href': 'https://api.spotify.com/v1/artists/7LvDTuFCBv08xm6u1pOMK0', 'id': '7LvDTuFCBv08xm6u1pOMK0', 'name': 'TJ Monterde', 'type': 'artist', 'uri': 'spotify:artist:7LvDTuFCBv08xm6u1pOMK0'}]",1.0,256800.0,0.0,{'spotify': 'https://open.spotify.com/track/5GGDTFcQCmCsqrkEqQnHks'},https://api.spotify.com/v1/tracks/5GGDTFcQCmCsqrkEqQnHks,5GGDTFcQCmCsqrkEqQnHks,0.0,"1,2,3",https://p.scdn.co/mp3-preview/e86f83160160e98c6d97bf71e1678d78a3a071f8?cid=3b33859d46fe4fd1a085151a8fefa86d,2.0,track,spotify:track:5GGDTFcQCmCsqrkEqQnHks,7nZDufhIkYniBmpxiFMRx6
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7LvDTuFCBv08xm6u1pOMK0'}, 'href': 'https://api.spotify.com/v1/artists/7LvDTuFCBv08xm6u1pOMK0', 'id': '7LvDTuFCBv08xm6u1pOMK0', 'name': 'TJ Monterde', 'type': 'artist', 'uri': 'spotify:artist:7LvDTuFCBv08xm6u1pOMK0'}]",1.0,260866.0,0.0,{'spotify': 'https://open.spotify.com/track/1L4oNa8QzcnjvkjmUhJmjH'},https://api.spotify.com/v1/tracks/1L4oNa8QzcnjvkjmUhJmjH,1L4oNa8QzcnjvkjmUhJmjH,0.0,Kahit Kunwari,https://p.scdn.co/mp3-preview/ab8e5dc429b71a4cf93c9cd7cf8153b1f581a19a?cid=3b33859d46fe4fd1a085151a8fefa86d,3.0,track,spotify:track:1L4oNa8QzcnjvkjmUhJmjH,7nZDufhIkYniBmpxiFMRx6
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7LvDTuFCBv08xm6u1pOMK0'}, 'href': 'https://api.spotify.com/v1/artists/7LvDTuFCBv08xm6u1pOMK0', 'id': '7LvDTuFCBv08xm6u1pOMK0', 'name': 'TJ Monterde', 'type': 'artist', 'uri': 'spotify:artist:7LvDTuFCBv08xm6u1pOMK0'}]",1.0,281013.0,0.0,{'spotify': 'https://open.spotify.com/track/0I2GbXt49RXBBw9quJdE1B'},https://api.spotify.com/v1/tracks/0I2GbXt49RXBBw9quJdE1B,0I2GbXt49RXBBw9quJdE1B,0.0,Nitong Pusong Ito,https://p.scdn.co/mp3-preview/54c83657e9f7febfafc150df9cc5a466565b1a7f?cid=3b33859d46fe4fd1a085151a8fefa86d,4.0,track,spotify:track:0I2GbXt49RXBBw9quJdE1B,7nZDufhIkYniBmpxiFMRx6
