acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.658,https://api.spotify.com/v1/audio-analysis/6KCKbh4PXZGP7Rykg2v6gj,0.542,301622.0,0.518,6KCKbh4PXZGP7Rykg2v6gj,0.0131,6.0,0.0962,-10.861,1.0,0.0301,148.051,4.0,https://api.spotify.com/v1/tracks/6KCKbh4PXZGP7Rykg2v6gj,audio_features,spotify:track:6KCKbh4PXZGP7Rykg2v6gj,0.185
0.0721,https://api.spotify.com/v1/audio-analysis/7MwvSPbO4n8hVVM8Hdjg7F,0.658,276486.0,0.776,7MwvSPbO4n8hVVM8Hdjg7F,1.15e-06,0.0,0.113,-7.04,0.0,0.113,148.096,4.0,https://api.spotify.com/v1/tracks/7MwvSPbO4n8hVVM8Hdjg7F,audio_features,spotify:track:7MwvSPbO4n8hVVM8Hdjg7F,0.546
0.0342,https://api.spotify.com/v1/audio-analysis/0wUSZjJVblGKntOqBSWMdo,0.229,300240.0,0.697,0wUSZjJVblGKntOqBSWMdo,0.0,6.0,0.0749,-5.298,1.0,0.0304,152.236,4.0,https://api.spotify.com/v1/tracks/0wUSZjJVblGKntOqBSWMdo,audio_features,spotify:track:0wUSZjJVblGKntOqBSWMdo,0.292
0.642,https://api.spotify.com/v1/audio-analysis/1PylPQlmQ2ymbRFtEqs3NM,0.555,256560.0,0.347,1PylPQlmQ2ymbRFtEqs3NM,0.0,8.0,0.104,-9.806,1.0,0.0296,151.917,3.0,https://api.spotify.com/v1/tracks/1PylPQlmQ2ymbRFtEqs3NM,audio_features,spotify:track:1PylPQlmQ2ymbRFtEqs3NM,0.42
0.00557,https://api.spotify.com/v1/audio-analysis/461EfHiwzh8ZCZGaFEIaAJ,0.469,278107.0,0.749,461EfHiwzh8ZCZGaFEIaAJ,0.0,1.0,0.073,-4.616,1.0,0.0358,144.123,4.0,https://api.spotify.com/v1/tracks/461EfHiwzh8ZCZGaFEIaAJ,audio_features,spotify:track:461EfHiwzh8ZCZGaFEIaAJ,0.331
0.00487,https://api.spotify.com/v1/audio-analysis/4ZMMxYeUfDcTbJrYbHYkH9,0.498,259280.0,0.82,4ZMMxYeUfDcTbJrYbHYkH9,0.0,8.0,0.0619,-5.104,1.0,0.0365,125.006,4.0,https://api.spotify.com/v1/tracks/4ZMMxYeUfDcTbJrYbHYkH9,audio_features,spotify:track:4ZMMxYeUfDcTbJrYbHYkH9,0.428
0.172,https://api.spotify.com/v1/audio-analysis/2FdFtKCpMUVSyjfrisntqS,0.533,295253.0,0.406,2FdFtKCpMUVSyjfrisntqS,4.9e-05,7.0,0.123,-7.496,1.0,0.0262,76.029,4.0,https://api.spotify.com/v1/tracks/2FdFtKCpMUVSyjfrisntqS,audio_features,spotify:track:2FdFtKCpMUVSyjfrisntqS,0.16
0.92,https://api.spotify.com/v1/audio-analysis/4VqJWTZcYYYrxumLAvKrEu,0.33,301853.0,0.14,4VqJWTZcYYYrxumLAvKrEu,1.24e-06,1.0,0.0862,-11.782,1.0,0.0323,135.742,4.0,https://api.spotify.com/v1/tracks/4VqJWTZcYYYrxumLAvKrEu,audio_features,spotify:track:4VqJWTZcYYYrxumLAvKrEu,0.221
0.0228,https://api.spotify.com/v1/audio-analysis/58qgkXnO7WNhSlrafaFiHo,0.415,354559.0,0.524,58qgkXnO7WNhSlrafaFiHo,5.46e-06,3.0,0.346,-6.422,1.0,0.0287,88.127,4.0,https://api.spotify.com/v1/tracks/58qgkXnO7WNhSlrafaFiHo,audio_features,spotify:track:58qgkXnO7WNhSlrafaFiHo,0.0951
0.235,https://api.spotify.com/v1/audio-analysis/10KwgxxuINm8qfrscMSyog,0.581,213280.0,0.75,10KwgxxuINm8qfrscMSyog,0.0,7.0,0.196,-6.306,1.0,0.0324,144.068,4.0,https://api.spotify.com/v1/tracks/10KwgxxuINm8qfrscMSyog,audio_features,spotify:track:10KwgxxuINm8qfrscMSyog,0.681
0.762,https://api.spotify.com/v1/audio-analysis/42yZr565myfKAp5WIqUYO7,0.514,267307.0,0.198,42yZr565myfKAp5WIqUYO7,0.0,11.0,0.127,-12.034,1.0,0.0317,149.545,4.0,https://api.spotify.com/v1/tracks/42yZr565myfKAp5WIqUYO7,audio_features,spotify:track:42yZr565myfKAp5WIqUYO7,0.246
0.468,https://api.spotify.com/v1/audio-analysis/52YWyznut721L6RHxl86Cz,0.666,183040.0,0.871,52YWyznut721L6RHxl86Cz,0.0,11.0,0.115,-5.239,0.0,0.0707,97.009,4.0,https://api.spotify.com/v1/tracks/52YWyznut721L6RHxl86Cz,audio_features,spotify:track:52YWyznut721L6RHxl86Cz,0.76
0.612,https://api.spotify.com/v1/audio-analysis/7eZPRonoAKbowI5ZEf8oi8,0.311,246733.0,0.468,7eZPRonoAKbowI5ZEf8oi8,0.0,9.0,0.118,-5.95,1.0,0.0295,141.233,3.0,https://api.spotify.com/v1/tracks/7eZPRonoAKbowI5ZEf8oi8,audio_features,spotify:track:7eZPRonoAKbowI5ZEf8oi8,0.269
0.654,https://api.spotify.com/v1/audio-analysis/1TGRZIWylc4sF6lXKKPiY4,0.331,354627.0,0.326,1TGRZIWylc4sF6lXKKPiY4,0.0,3.0,0.0824,-8.35,1.0,0.0284,176.034,4.0,https://api.spotify.com/v1/tracks/1TGRZIWylc4sF6lXKKPiY4,audio_features,spotify:track:1TGRZIWylc4sF6lXKKPiY4,0.259
0.0329,https://api.spotify.com/v1/audio-analysis/6mPEvk6NvXyh4QzDnkpW1n,0.518,275640.0,0.756,6mPEvk6NvXyh4QzDnkpW1n,0.0,11.0,0.143,-6.84,1.0,0.0328,124.006,4.0,https://api.spotify.com/v1/tracks/6mPEvk6NvXyh4QzDnkpW1n,audio_features,spotify:track:6mPEvk6NvXyh4QzDnkpW1n,0.464
0.055,https://api.spotify.com/v1/audio-analysis/16P2H5RrrcX6qfXBjHWuzj,0.661,254640.0,0.783,16P2H5RrrcX6qfXBjHWuzj,0.0,1.0,0.141,-7.543,1.0,0.0291,136.113,4.0,https://api.spotify.com/v1/tracks/16P2H5RrrcX6qfXBjHWuzj,audio_features,spotify:track:16P2H5RrrcX6qfXBjHWuzj,0.806
0.483,https://api.spotify.com/v1/audio-analysis/2fTbHPiJ9jvCkIo6H6Algl,0.587,334640.0,0.399,2fTbHPiJ9jvCkIo6H6Algl,9.43e-05,1.0,0.0771,-8.718,0.0,0.0267,79.989,4.0,https://api.spotify.com/v1/tracks/2fTbHPiJ9jvCkIo6H6Algl,audio_features,spotify:track:2fTbHPiJ9jvCkIo6H6Algl,0.314
0.0392,https://api.spotify.com/v1/audio-analysis/3cL6AVdfTFyuwkGfTtwHzU,0.588,234640.0,0.562,3cL6AVdfTFyuwkGfTtwHzU,6.06e-06,6.0,0.0258,-7.451,1.0,0.0401,130.02,4.0,https://api.spotify.com/v1/tracks/3cL6AVdfTFyuwkGfTtwHzU,audio_features,spotify:track:3cL6AVdfTFyuwkGfTtwHzU,0.504
0.0206,https://api.spotify.com/v1/audio-analysis/5wSPS4DazGnMir7Q3dQG1L,0.536,275640.0,0.754,5wSPS4DazGnMir7Q3dQG1L,2.42e-05,8.0,0.059,-7.254,1.0,0.0325,123.988,4.0,https://api.spotify.com/v1/tracks/5wSPS4DazGnMir7Q3dQG1L,audio_features,spotify:track:5wSPS4DazGnMir7Q3dQG1L,0.502
0.447,https://api.spotify.com/v1/audio-analysis/0jQ0Kc5mJnCnG2J3wQBLTL,0.424,325640.0,0.502,0jQ0Kc5mJnCnG2J3wQBLTL,0.00059,1.0,0.0934,-7.863,1.0,0.0262,163.897,4.0,https://api.spotify.com/v1/tracks/0jQ0Kc5mJnCnG2J3wQBLTL,audio_features,spotify:track:0jQ0Kc5mJnCnG2J3wQBLTL,0.19
0.035,https://api.spotify.com/v1/audio-analysis/1tYTYhD5qcMmG6RF7RJPPQ,0.577,283640.0,0.687,1tYTYhD5qcMmG6RF7RJPPQ,0.00436,1.0,0.224,-7.637,1.0,0.0278,128.015,4.0,https://api.spotify.com/v1/tracks/1tYTYhD5qcMmG6RF7RJPPQ,audio_features,spotify:track:1tYTYhD5qcMmG6RF7RJPPQ,0.37
0.779,https://api.spotify.com/v1/audio-analysis/7AItzZv48r9QfWm7Hcu9ip,0.58,316640.0,0.45,7AItzZv48r9QfWm7Hcu9ip,0.0273,6.0,0.105,-9.627,1.0,0.0309,140.043,4.0,https://api.spotify.com/v1/tracks/7AItzZv48r9QfWm7Hcu9ip,audio_features,spotify:track:7AItzZv48r9QfWm7Hcu9ip,0.212
0.104,https://api.spotify.com/v1/audio-analysis/1Yl95MLSJOFcEPPzvYfgAe,0.671,277640.0,0.444,1Yl95MLSJOFcEPPzvYfgAe,4.41e-05,1.0,0.0869,-8.743,1.0,0.0295,92.03,4.0,https://api.spotify.com/v1/tracks/1Yl95MLSJOFcEPPzvYfgAe,audio_features,spotify:track:1Yl95MLSJOFcEPPzvYfgAe,0.646
0.353,https://api.spotify.com/v1/audio-analysis/3dM5DJyMlbgTN8p9Gccy94,0.589,400640.0,0.485,3dM5DJyMlbgTN8p9Gccy94,6.28e-06,7.0,0.125,-8.451,1.0,0.0337,125.949,4.0,https://api.spotify.com/v1/tracks/3dM5DJyMlbgTN8p9Gccy94,audio_features,spotify:track:3dM5DJyMlbgTN8p9Gccy94,0.27
0.771,https://api.spotify.com/v1/audio-analysis/7cEzvgi1UXFJyJDGy8EEbv,0.576,297640.0,0.293,7cEzvgi1UXFJyJDGy8EEbv,0.0,11.0,0.118,-8.917,1.0,0.0296,114.955,4.0,https://api.spotify.com/v1/tracks/7cEzvgi1UXFJyJDGy8EEbv,audio_features,spotify:track:7cEzvgi1UXFJyJDGy8EEbv,0.26
0.777,https://api.spotify.com/v1/audio-analysis/0aQdk3YF4sja5E9W0KdfZK,0.76,307640.0,0.353,0aQdk3YF4sja5E9W0KdfZK,3.89e-06,1.0,0.193,-10.447,1.0,0.0613,128.042,4.0,https://api.spotify.com/v1/tracks/0aQdk3YF4sja5E9W0KdfZK,audio_features,spotify:track:0aQdk3YF4sja5E9W0KdfZK,0.532
0.864,https://api.spotify.com/v1/audio-analysis/052QO0vli1yfVyowbABPIe,0.637,283640.0,0.214,052QO0vli1yfVyowbABPIe,0.0,8.0,0.322,-8.696,1.0,0.0295,80.091,4.0,https://api.spotify.com/v1/tracks/052QO0vli1yfVyowbABPIe,audio_features,spotify:track:052QO0vli1yfVyowbABPIe,0.192
0.912,https://api.spotify.com/v1/audio-analysis/4OHUVBHO3CE2ePCXkcDlJg,0.445,228640.0,0.181,4OHUVBHO3CE2ePCXkcDlJg,0.0,4.0,0.168,-11.922,1.0,0.0382,126.218,4.0,https://api.spotify.com/v1/tracks/4OHUVBHO3CE2ePCXkcDlJg,audio_features,spotify:track:4OHUVBHO3CE2ePCXkcDlJg,0.219
0.839,https://api.spotify.com/v1/audio-analysis/6LVuXKBgC5ZDzeLtceaiOB,0.707,259640.0,0.248,6LVuXKBgC5ZDzeLtceaiOB,0.0,8.0,0.105,-6.999,1.0,0.0301,110.085,4.0,https://api.spotify.com/v1/tracks/6LVuXKBgC5ZDzeLtceaiOB,audio_features,spotify:track:6LVuXKBgC5ZDzeLtceaiOB,0.298
0.828,https://api.spotify.com/v1/audio-analysis/40KAM6fxyNyArMRyqFw01a,0.452,338640.0,0.239,40KAM6fxyNyArMRyqFw01a,0.000636,1.0,0.119,-9.803,1.0,0.0296,76.101,4.0,https://api.spotify.com/v1/tracks/40KAM6fxyNyArMRyqFw01a,audio_features,spotify:track:40KAM6fxyNyArMRyqFw01a,0.168
0.91,https://api.spotify.com/v1/audio-analysis/14MO8yvL15QfJ6ah8AxXk3,0.536,314640.0,0.202,14MO8yvL15QfJ6ah8AxXk3,0.000369,8.0,0.1,-11.373,1.0,0.0453,122.222,4.0,https://api.spotify.com/v1/tracks/14MO8yvL15QfJ6ah8AxXk3,audio_features,spotify:track:14MO8yvL15QfJ6ah8AxXk3,0.14
0.955,https://api.spotify.com/v1/audio-analysis/4qjcGC3wl5CJdSfjg0MJAn,0.622,328640.0,0.103,4qjcGC3wl5CJdSfjg0MJAn,0.000459,6.0,0.0957,-14.781,1.0,0.0337,134.993,4.0,https://api.spotify.com/v1/tracks/4qjcGC3wl5CJdSfjg0MJAn,audio_features,spotify:track:4qjcGC3wl5CJdSfjg0MJAn,0.243
0.693,https://api.spotify.com/v1/audio-analysis/3Th7U4fsaeMK9HjnZ8PviY,0.661,239640.0,0.284,3Th7U4fsaeMK9HjnZ8PviY,0.0,1.0,0.11,-10.072,1.0,0.0382,88.103,4.0,https://api.spotify.com/v1/tracks/3Th7U4fsaeMK9HjnZ8PviY,audio_features,spotify:track:3Th7U4fsaeMK9HjnZ8PviY,0.44
0.693,https://api.spotify.com/v1/audio-analysis/7eowLr1oSkhtYWAEFvDdfk,0.802,308640.0,0.355,7eowLr1oSkhtYWAEFvDdfk,1.68e-06,7.0,0.0646,-8.192,1.0,0.0553,122.004,4.0,https://api.spotify.com/v1/tracks/7eowLr1oSkhtYWAEFvDdfk,audio_features,spotify:track:7eowLr1oSkhtYWAEFvDdfk,0.485
0.00176,https://api.spotify.com/v1/audio-analysis/4FzJFG7qtwrFBmfjtk76Xl,0.441,276528.0,0.826,4FzJFG7qtwrFBmfjtk76Xl,4.22e-05,8.0,0.246,-5.914,1.0,0.0653,114.03,4.0,https://api.spotify.com/v1/tracks/4FzJFG7qtwrFBmfjtk76Xl,audio_features,spotify:track:4FzJFG7qtwrFBmfjtk76Xl,0.487
